,title,year,certificate,duration,genre,rating,description,votes
457,One Of Us Is Lying,(2021– ),TV-MA,50 min,"Crime, Drama, Mystery",6.8,"A brain, an athlete, a princess, a criminal and a ""basket case"" walk into detention--but only the first four make it out alive.","8,906"
458,Monty Python and the Holy Grail,(1975),PG,91 min,"Adventure, Comedy, Fantasy",8.2,"King Arthur and his Knights of the Round Table embark on a surreal, low-budget search for the Holy Grail, encountering many, very silly obstacles.","538,546"
459,Batman v Superman: Dawn of Justice,(2016),PG-13,152 min,"Action, Adventure, Sci-Fi",6.4,"Fearing that the actions of Superman are left unchecked, Batman takes on the Man of Steel, while the world wrestles with what kind of a hero it really needs.","694,619"
460,Climax,(I) (2018),R,97 min,"Drama, Horror, Music",6.9,"French dancers gather in a remote, empty school building to rehearse on a wintry night. The all-night celebration morphs into a hallucinatory nightmare when they learn their sangria is laced with LSD.","67,926"
461,Lupin,(2021– ),TV-MA,45 min,"Action, Crime, Drama",7.5,"Inspired by the adventures of Arsène Lupin, gentleman thief Assane Diop sets out to avenge his father for an injustice inflicted by a wealthy family.","105,218"
462,Entergalactic,(2022– ),,,"Animation, Comedy, Music",,"Jabari, a charming, streetwear-clad artist on the cusp of real success. After a chance run-in with his cool new photographer neighbor, Meadow, Jabari has to figure out whether he can make space for love in his life.",
463,The Old Guard,(2020),R,125 min,"Action, Thriller",6.6,A covert team of immortal mercenaries is suddenly exposed and must now fight to keep their identity a secret just as an unexpected new member is discovered.,"162,921"
464,The Serpent,(2021),TV-MA,458 min,"Crime, Drama, Thriller",7.6,"The twisting, real-life story of Charles Sobhraj, a murderer, thief and seductive master of disguise, who was a hidden darkness in the mid-70's on Asia's hippie trail.","43,200"
465,"tick, tick... BOOM!",(2021),PG-13,120 min,"Biography, Drama, Musical",7.5,"On the cusp of his 30th birthday, a promising young theater composer navigates love, friendship and the pressures of life as an artist in New York City.","103,537"
466,The Pale Blue Eye,(2022),R,,"Crime, Horror, Mystery",,"Follows a veteran detective who investigates the murders, helped by a detail-oriented young cadet who will later become a world famous author, Edgar Allan Poe.",
467,Alice in Borderland,(2020– ),TV-MA,50 min,"Action, Drama, Mystery",7.6,A group of bored delinquents are transported to a parallel dimension as part of a survival game.,"50,974"
468,Gilmore Girls: A Year in the Life,(2016),TV-14,370 min,"Comedy, Drama",7.6,"Set nearly a decade after the finale of the original series, this revival follows Lorelai, Rory and Emily Gilmore through four seasons of change.","38,451"
469,Carter,(I) (2022),TV-MA,132 min,"Action, Thriller",5.1,"Thrown straight into a dangerous mission with none of his memories intact, a man must escape death while trying to figure out who he is, how he ended up here, and who is the mysterious voice in his ear calling him ""Carter""?","7,595"
470,The Babysitter,(I) (2017),TV-MA,85 min,"Comedy, Horror",6.3,"When Cole stays up past his bedtime, he discovers that his hot baby sitter belongs to a satanic cult that will stop at nothing to keep him quiet.","92,479"
471,Outlaw King,(2018),R,121 min,"Action, Biography, Drama",6.9,A true David vs. Goliath story of how the 14th century Scottish 'Outlaw King' Robert the Bruce used cunning and bravery to defeat the much larger and better equipped occupying English army.,"71,960"
472,Despicable Me 2,(2013),PG,98 min,"Animation, Adventure, Comedy",7.3,"When Gru, the world's most super-bad turned super-dad has been recruited by a team of officials to stop lethal muscle and a host of Gru's own, He has to fight back with new gadgetry, cars, and more minion madness.","399,084"
473,Good Witch,(2015–2021),TV-PG,48 min,"Comedy, Drama, Fantasy",7.3,"""Good Witch"" will take viewers on a new magical journey with Cassie Nightingale and her daughter Grace. When Dr. Sam Radford moves in next door to Grey House with his son, they are charmed by the 'magical' mother-daughter duo.","10,753"
474,Extraction,(2020),R,116 min,"Action, Thriller",6.7,"Tyler Rake, a fearless black market mercenary, embarks on the most deadly extraction of his career when he's enlisted to rescue the kidnapped son of an imprisoned international crime lord.","200,239"
475,Cleveland Abduction,(2015 TV Movie),TV-14,88 min,"Biography, Crime, Drama",6.6,"A single mother, who becomes the first victim of kidnapper Ariel Castro, finds herself trapped in his home for 11 years, where she eventually becomes a friend and sister to two other women who are taken captive by Castro.","7,425"
476,Army of Thieves,(2021),TV-MA,127 min,"Action, Comedy, Crime",6.4,"A prequel, set before the events of Army of the Dead, which focuses on German safecracker Ludwig Dieter leading a group of aspiring thieves on a top secret heist during the early stages of the zombie apocalypse.","75,902"
477,Selling the OC,(2022– ),TV-MA,30 min,Reality-TV,5.5,"Jason Oppenheim, owner of the Oppenheim Group, expands the company opening a second office in Newport Beach.",767
478,Dawson's Creek,(1998–2003),TV-14,60 min,"Drama, Romance",6.8,Four friends in a small coastal town help each other cope with adolescence.,"41,567"
479,12 Strong,(2018),R,130 min,"Action, Drama, History",6.5,"12 Strong tells the story of the first Special Forces team deployed to Afghanistan after 9/11; under the leadership of a new captain, the team must work with an Afghan warlord to take down the Taliban.","81,719"
480,Lone Survivor,(2013),R,121 min,"Action, Biography, Drama",7.5,"Marcus Luttrell and his team set out on a mission to capture or kill notorious Taliban leader Ahmad Shah, in late June 2005. Marcus and his team are left to fight for their lives in one of the most valiant efforts of modern warfare.","287,213"
481,Into the Night,(II) (2020– ),TV-MA,35 min,"Drama, Sci-Fi, Thriller",7.1,"When radiation from the sun causes a global disaster on Earth, survivors on an overnight flight from Brussels race from city to city trying to stay ahead of the sun's rays by remaining in the cover of night.","32,118"
482,Inside Job,(2021– ),TV-MA,30 min,"Animation, Comedy, Fantasy",7.6,"For employees of the Deep State, conspiracies aren't just theories, they're fact. And keeping them a secret is a full-time job.","17,662"
483,Chef's Table: Pizza,(2022– ),TV-MA,45 min,Documentary,7.4,"Features chefs from all over the world whose creativity elevates an ordinary dish like pizza, to an art form, with their unique flavors, inspiring backgrounds, and passion for creating the perfect slice.",289
484,Major,(2022),,150 min,"Action, Biography, Drama",8.2,"Based on the life of Major Sandeep Unnikrishnan, who was martyred in action during the November 2008 Mumbai attacks and was consequently awarded the Ashoka Chakra, India's highest peacetime gallantry award, on 26 January 2009.","25,431"
485,Bird Box,(2018),R,124 min,"Horror, Mystery, Sci-Fi",6.6,"Five years after an ominous unseen presence drives most of society to suicide, a mother and her two children make a desperate bid to reach safety.","336,633"
486,The Fresh Prince of Bel-Air,(1990–1996),TV-PG,22 min,Comedy,7.9,"A streetwise, poor young man from Philadelphia is sent by his mother to live with his aunt, uncle and cousins in their Bel-Air mansion.","134,185"
487,Through My Window,(2022),TV-MA,116 min,"Comedy, Drama, Romance",5.4,"Raquel's longtime crush on her next-door neighbor turns into something more when he starts developing feelings for her, despite his family's objections.","10,198"
488,The Holiday,(2006),PG-13,136 min,"Comedy, Romance",6.9,"Two women troubled with guy-problems swap homes in each other's countries, where they each meet a local guy and fall in love.","284,199"
489,Moonrise Kingdom,(2012),PG-13,94 min,"Comedy, Drama, Romance",7.8,"A pair of young lovers flee their New England town, which causes a local search party to fan out to find them.","348,507"
490,He's All That,(2021),TV-14,88 min,"Comedy, Romance",4.4,"A teenage girl sets out to give a nebbish classmate the ultimate high school makeover. An updated remake of the 1999 film, 'She's All That'.","24,843"
491,Superwog,(2017– ),TV-MA,30 min,Comedy,7.4,"A half-hour comedy following the dysfunctional Superwog family. While their parents deal with a marital breakdown, Superwog and best friend Johnny must learn to deal with adulthood and independent life.",986
492,Breakfast at Tiffany's,(1961),Approved,115 min,"Comedy, Drama, Romance",7.6,"A young New York socialite becomes interested in a young man who has moved into her apartment building, but her past threatens to get in the way.","180,040"
493,The Girl in the Spider's Web,(2018),R,115 min,"Action, Crime, Drama",6.1,"Young computer hacker Lisbeth Salander and journalist Mikael Blomkvist find themselves caught in a web of spies, cybercriminals and corrupt government officials.","47,930"
494,The Karate Kid,(2010),PG,140 min,"Action, Drama, Family",6.2,"Work causes a single mother to move to China with her young son; in his new home, the boy embraces kung fu, taught to him by a master.","183,166"
495,Shot Caller,(2017),R,121 min,"Crime, Drama, Thriller",7.3,A newly released prisoner is forced by the leaders of his gang to orchestrate a major crime with a brutal rival gang on the streets of Southern California.,"86,482"
496,The Missing,(2014–2016),TV-14,60 min,"Crime, Drama, Mystery",8.2,Tony and Emily Hughes' vacation turns into a nightmare when their 5-year-old son Oliver disappears from a large celebrating crowd in Northern France.,"26,870"
497,Moneyball,(2011),PG-13,133 min,"Biography, Drama, Sport",7.6,Oakland A's general manager Billy Beane's successful attempt to assemble a baseball team on a lean budget by employing computer-generated analysis to acquire new players.,"420,330"
498,Clusterf**k: Woodstock '99,(2022),TV-MA,142 min,"Documentary, History, Music",7.4,"Woodstock 1969 promised peace and music, but its '99 revival delivered days of rage, riots and real harm. Why did it go so horribly wrong?","13,986"
499,Stay Close,(2021),TV-MA,375 min,"Crime, Drama, Mystery",6.9,"The lives of a photojournalist, a soccer mom and a homicide detective are disturbed by a terrible event from the past.","31,279"
500,Furious 7,(2015),PG-13,137 min,"Action, Crime, Thriller",7.1,Deckard Shaw seeks revenge against Dominic Toretto and his family for his comatose brother.,"388,751"
501,Avatar: The Last Airbender,,,,"Action, Adventure, Comedy",,"Live-action adaptation of the animated series centering on the adventures of Aang and his friends, who fight to save the world by defeating the Fire-Nation",
502,Top Gear,(2002– ),TV-PG,60 min,"Adventure, Comedy, Reality-TV",8.7,"The hosts talk about everything car-related. From new cars to how they're fueled, this show has it all.","118,264"
503,Lou,(I) (2022),R,107 min,"Action, Crime, Drama",5.9,"A storm rages. A young girl is kidnapped. Her mother teams up with the mysterious woman next door to pursue the kidnapper, a journey that tests their limits and exposes shocking secrets from their pasts.",880
504,Lost Ollie,(2022),TV-PG,45 min,"Animation, Adventure, Drama",7.8,"A lost toy, searching across the countryside for the boy who lost him, and the story of the boy who lost more than a best friend.","1,071"
505,Fatal Attraction,(1987),R,119 min,"Drama, Thriller",6.9,A married man's one-night stand comes back to haunt him when that lover begins to stalk him and his family.,"86,764"
506,Untold: The Girlfriend Who Didn't Exist,(2022),TV-MA,124 min,"Documentary, Biography, Sport",7.2,"From Notre Dame to the NFL, Manti Te'o's future in football showed promise until a secret online relationship sent his life and career spiraling.","4,962"
507,The Lincoln Lawyer,(2011),R,118 min,"Crime, Drama, Mystery",7.3,A lawyer defending a wealthy man begins to believe his client is guilty of more than just one crime.,"238,378"
508,Mighty Morphin Power Rangers,(1993–1996),TV-Y7,30 min,"Action, Adventure, Family",6.5,"A team of teenagers with attitude are recruited to save Angel Grove from the evil witch, Rita Repulsa, and later, Lord Zedd, Emperor of all he sees, and their horde of monsters.","22,310"
509,Life of Brian,(1979),R,94 min,Comedy,8.0,"Born on the original Christmas in the stable next door to Jesus Christ, Brian of Nazareth spends his life being mistaken for a messiah.","397,955"
510,Love Is Blind,(2020– ),TV-MA,48 min,"Game-Show, Reality-TV, Romance",6.1,"Singles who want to be loved for who they are, rather than what they look like, have signed up for a less conventional approach to modern dating.","8,099"
511,The Pentaverate,(2022),TV-MA,160 min,Comedy,6.1,An unlikely Canadian journalist finds himself embroiled in a mission to uncover the truth and just possibly save the world himself.,"9,498"
512,Doom,(2005),R,105 min,"Action, Horror, Sci-Fi",5.2,Space Marines are sent to investigate strange events at a research facility on Mars but find themselves at the mercy of genetically enhanced killing machines.,"113,934"
513,Pan,(2015),PG,111 min,"Action, Adventure, Comedy",5.7,"Twelve-year-old orphan Peter is spirited away to the magical world of Neverland, where he finds both fun and danger, and ultimately discovers his destiny: to become the hero who will be forever known as Peter Pan.","64,414"
514,Crazy Ex-Girlfriend,(2015–2019),TV-14,42 min,"Comedy, Musical",7.8,"A young woman abandons a choice job at a law firm and her life in New York in an attempt to find happiness in the unlikely locale of West Covina, California.","20,397"
515,A Walk to Remember,(2002),PG,101 min,"Drama, Romance",7.3,"Two North Carolina teens, Landon Carter and Jamie Sullivan, are thrown together after Landon gets into trouble and is sentenced to perform community service.","211,211"
516,Enola Holmes 2,(2022),PG-13,,"Action, Adventure, Crime",,"Now a detective-for-hire, Enola Holmes takes on her first official case to find a missing girl as the sparks of a dangerous conspiracy ignite a mystery that requires the help of friends - and Sherlock himself - to unravel",
517,When Calls the Heart,(2014– ),TV-G,43 min,"Drama, History, Romance",7.9,"Elizabeth Thatcher, a young school teacher from a wealthy Eastern family, migrates from the big city to teach school in a small coal mining town in the west.","13,133"
518,Space Force,(2020–2022),TV-MA,30 min,Comedy,6.7,The people tasked with creating a sixth branch of the armed services: The Space Force.,"64,540"
519,The Shannara Chronicles,(2016–2017),TV-14,42 min,"Adventure, Drama, Fantasy",7.1,"Series of adventures, war, and evil that occur throughout the history of the Four Lands.","60,428"
520,Lucy,(I) (2014),R,89 min,"Action, Sci-Fi, Thriller",6.4,"A woman, accidentally caught in a dark deal, turns the tables on her captors and transforms into a merciless warrior evolved beyond human logic.","493,047"
521,Midnight in Paris,(2011),PG-13,94 min,"Comedy, Fantasy, Romance",7.7,"While on a trip to Paris with his fiancée's family, a nostalgic screenwriter finds himself mysteriously going back to the 1920s every day at midnight.","422,213"
522,Contagion,(2011),PG-13,106 min,"Drama, Thriller",6.8,"Healthcare professionals, government officials and everyday people find themselves in the midst of a pandemic as the CDC works to find a cure.","303,276"
523,Project X,(2012),R,88 min,Comedy,6.6,"Three high-school seniors throw a birthday party to make a name for themselves. As the night progresses, things spiral out of control as word of the party spreads.","210,083"
524,Cars 3,(2017),G,102 min,"Animation, Adventure, Comedy",6.7,Lightning McQueen sets out to prove to a new generation of racers that he's still the best race car in the world.,"99,256"
525,The Alienist,(2018–2020),TV-MA,60 min,"Crime, Drama, Mystery",7.7,Newspaper illustrator John Moore meets with criminal psychologist (alienist) Dr. Laszlo Kreizler to investigate a serial killer in New York during the late 19th century.,"54,039"
526,Pokémon,(1997– ),TV-Y7,24 min,"Animation, Action, Adventure",7.5,"Ash Ketchum, his yellow pet Pikachu, and his human friends explore a world of powerful creatures.","42,922"
527,Wentworth,(2013–2021),TV-MA,45 min,"Crime, Drama, Thriller",8.6,The confronting look into the lives of the inmates and prison staff of Wentworth Correctional Centre as they navigate the ups and downs of their lives in the prison system.,"22,295"
528,Knocked Up,(2007),R,129 min,"Comedy, Romance",6.9,"For fun-loving party animal Ben Stone, the last thing he ever expected was for his one-night stand to show up on his doorstep eight weeks later to tell him she's pregnant with his child.","369,484"
529,I Think You Should Leave with Tim Robinson,(2019– ),TV-MA,16 min,Comedy,7.9,"In this new sketch show, Tim Robinson and guests spend each segment driving someone to the point of needing -- or desperately wanting -- to leave.","12,743"
530,Ivy & Bean,(2022),TV-G,56 min,"Action, Comedy, Family",5.9,"Two unlikely friends, the loud and fearless Bean, and the thoughtful and quiet Ivy. Yet the two discover that an adventure can reveal that even seemingly different people can become the best of friends.",176
531,The Fall of the House of Usher,,,,"Drama, Horror",,"An unnamed narrator approaches the house of Usher on a ""dull, dark, and soundless day."" This house the estate of his boyhood friend, Roderick Usher is gloomy and mysterious.",
532,Robin Hood,(2018),PG-13,116 min,"Action, Adventure, Drama",5.3,A war-hardened Crusader and his Moorish commander mount an audacious revolt against the corrupt English crown.,"73,741"
533,Return to Sender,(I) (2015),Not Rated,92 min,"Drama, Thriller",5.1,A nurse living in small town goes on a blind date with a man who is not the person he says he is.,"13,648"
534,Kingdom,(2019– ),TV-MA,45 min,"Action, Drama, Horror",8.3,"While strange rumors about their ill King grip a kingdom, the crown prince becomes their only hope against a mysterious plague overtaking the land.","45,888"
535,Windfall,(2022),R,92 min,"Crime, Drama, Thriller",5.7,"A man breaks into a tech billionaire's empty vacation home, but things go sideways when the arrogant mogul and his wife arrive for a last-minute getaway.","22,612"
536,Hell on Wheels,(2011–2016),TV-14,42 min,"Drama, Western",8.3,"The Civil War is past, but former Confederate soldier Cullen Bohannon can't put it behind him. Fresh are the memories of the death of his wife, killed at the hands of the Union soldiers, an act that sets him on a course of revenge.","52,166"
537,Henry Danger,(2014–2020),TV-G,30 min,"Action, Comedy, Family",5.6,"Looking for a part-time job, 13-year-old Henry Hart lands the post of sidekick of superhero Captain Man, but he must keep this a secret from his family and friends.","5,633"
538,Love and Monsters,(I) (2020),PG-13,109 min,"Action, Adventure, Comedy",6.9,"Seven years after he survived the monster apocalypse, lovably hapless Joel leaves his cozy underground bunker behind on a quest to reunite with his ex.","126,227"
539,Disenchantment,(2018– ),TV-MA,30 min,"Animation, Action, Adventure",7.2,"Princess Tiabeanie, 'Bean', is annoyed at her imminent arranged marriage to Prince Merkimer. Then she meets Luci, a demon, and Elfo, an elf, and things get rather exciting, and dangerous.","61,178"
540,Princess Mononoke,(1997),PG-13,134 min,"Animation, Action, Adventure",8.4,"On a journey to find the cure for a Tatarigami's curse, Ashitaka finds himself in the middle of a war between the forest gods and Tatara, a mining colony. In this quest he also meets San, the Mononoke Hime.","390,689"
541,The Legend of Korra,(2012–2014),TV-PG,23 min,"Animation, Action, Adventure",8.4,Avatar Korra fights to keep Republic City safe from the evil forces of both the physical and spiritual worlds.,"120,855"
542,The Call,(2020),TV-MA,112 min,"Crime, Horror, Mystery",7.1,"Two people live in different times. Seo-Yeon lives in the present and Young-Sook lives in the past. One phone call connects the two, and their lives are changed irrevocably.","32,424"
543,Atomic Blonde,(2017),R,115 min,"Action, Thriller",6.7,An undercover MI6 agent is sent to Berlin during the Cold War to investigate the murder of a fellow agent and recover a missing list of double agents.,"193,383"
544,Fear Street: Part Two - 1978,(2021),R,109 min,"Drama, Horror, Mystery",6.7,"Shadyside, 1978. School's out for summer and the activities at Camp Nightwing are about to begin. But when another Shadysider is possessed with the urge to kill, the fun in the sun becomes a gruesome fight for survival.","62,722"
545,Copenhagen Cowboy,(2022– ),,,"Crime, Drama",8.5,"A young heroine, Miu who travels through Copenhagen's criminal netherworld.",37
546,The Expendables 2,(2012),R,103 min,"Action, Adventure, Thriller",6.6,"Mr. Church reunites the Expendables for what should be an easy paycheck, but when one of their men is murdered on the job, their quest for revenge puts them deep in enemy territory and up against an unexpected threat.","307,174"
547,Indian Predator: The Diary of a Serial Killer,(2022),,123 min,"Documentary, Crime, History",6.7,"When a suspect is found in a journalist's murder, the case is considered closed until a secret diary suggests 13 more victims and possible cannibalism.","1,077"
548,The Ritual,(I) (2017),TV-MA,94 min,"Horror, Mystery, Thriller",6.3,"A group of old college friends reunite for a trip to a forest in Sweden, Northern Europe, but encounter a menacing presence there stalking them.","99,253"
549,When They See Us,(2019),TV-MA,296 min,"Biography, Crime, Drama",8.9,Five teens from Harlem become trapped in a nightmare when they're falsely accused of a brutal attack in Central Park. Based on the true story.,"119,339"
550,Sicario: Day of the Soldado,(2018),R,122 min,"Action, Adventure, Crime",7.1,"The drug war on the U.S.-Mexico border has escalated as the cartels have begun trafficking terrorists across the US border. To fight the war, federal agent Matt Graver re-teams with the mercurial Alejandro.","147,136"
551,The Real Housewives of Beverly Hills,(2010– ),TV-14,44 min,Reality-TV,5.2,A reality series that follows some of the most affluent women in the country as they enjoy the lavish lifestyle that only Beverly Hills can provide.,"6,393"
552,The Emperor's New Groove,(2000),G,78 min,"Animation, Adventure, Comedy",7.4,"Emperor Kuzco is turned into a llama by his ex-administrator Yzma, and must now regain his throne with the help of Pacha, the gentle llama herder.","203,092"
553,The Hitman's Bodyguard,(2017),R,118 min,"Action, Comedy, Crime",6.9,"One of the world's top bodyguards gets a new client, a world class hitman who must testify at the International Criminal Court. They must put their differences aside and work together to make it to the trial alive and on time.","230,164"
554,Monster Hunter,(I) (2020),PG-13,103 min,"Action, Adventure, Fantasy",5.2,"When Cpt. Artemis and her loyal soldiers are transported to a new world, they engage in a desperate battle for survival against enormous enemies with incredible powers. Feature film based on the video game by Capcom.","58,347"
555,Between,(2015–2016),TV-14,60 min,"Drama, Mystery, Sci-Fi",5.9,"After a mysterious disease kills every resident over 22 years old, survivors of a town must fend for themselves when the government quarantines them","9,252"
556,The Amazing World of Gumball,(2011–2019),TV-Y7-FV,11 min,"Animation, Short, Adventure",8.3,The life of a twelve-year-old boy who happens to be a blue cat as he lives with his family and other strange creatures.,"31,652"
557,One Piece,,TV-14,,"Action, Adventure, Comedy",,"In a seafaring world, a young pirate captain sets out with his crew to attain the title of Pirate King and to discover the mythical treasure One Piece.",
558,Geostorm,(2017),PG-13,109 min,"Action, Sci-Fi, Thriller",5.3,"When the network of satellites designed to control the global climate starts to attack Earth, it's a race against the clock for its creator to uncover the real threat before a worldwide Geostorm wipes out everything and everyone.","108,072"
559,Metal Lords,(2022),R,97 min,"Comedy, Music",6.7,Two friends try to form a heavy metal band with a cellist for a Battle of the Bands.,"26,266"
560,Robin Hood: Prince of Thieves,(1991),PG-13,143 min,"Action, Adventure, Drama",6.9,Robin Hood decides to fight back as an outlaw when faced with the tyranny of the Sheriff of Nottingham.,"193,725"
561,Darlings,(I) (2022),TV-14,133 min,"Comedy, Drama, Thriller",6.6,It follows the lives of two women as they find courage and love in exceptional circumstances.,"16,317"
562,Steven Universe,(2013–2020),TV-PG,11 min,"Animation, Action, Adventure",8.2,"A team of intergalactic warriors fights to protect the Earth, but the combination of three highly trained beings and one quirky young boy leaves the team struggling to overcome the dangerous scenarios that are put in front of them.","33,505"
563,Hairspray,(2007),PG,117 min,"Comedy, Drama, Musical",6.7,Pleasantly plump teenager Tracy Turnblad teaches 1962 Baltimore a thing or two about integration after landing a spot on a local TV dance show.,"130,694"
564,Escape Room,(I) (2019),PG-13,99 min,"Action, Adventure, Horror",6.4,Six strangers find themselves in a maze of deadly mystery rooms and must use their wits to survive.,"121,675"
565,"Extremely Wicked, Shockingly Evil and Vile",(2019),R,110 min,"Biography, Crime, Drama",6.7,"A chronicle of the crimes of Ted Bundy from the perspective of Liz, his longtime girlfriend, who refused to believe the truth about him for years.","93,449"
566,Sweet Tooth,(2021– ),TV-14,,"Action, Adventure, Drama",7.8,A boy who is half human and half deer survives in a post-apocalyptic world with other hybrids.,"51,170"
567,Into the Badlands,(2015–2019),TV-14,42 min,"Action, Adventure, Drama",7.9,A mighty warrior and a young boy with supernatural powers search for enlightenment in a ruthless post-apocalyptic America controlled by feudal barons.,"46,547"
568,Spartacus: Gods of the Arena,(2011),TV-MA,331 min,"Action, Adventure, Biography",8.5,"In the time before the arrival of Spartacus, the House of Batiatus faces many challenges from competitors, and within its own household.","137,339"
569,Newness,(2017),Unrated,117 min,"Drama, Romance",6.3,"In contemporary Los Angeles, two millennials navigating a social media-driven hookup culture begin a relationship that pushes both emotional and physical boundaries.","16,901"
570,Santa Clarita Diet,(2017–2019),TV-MA,30 min,"Comedy, Horror",7.8,"Sheila and Joel are married real estate agents who live and work in Santa Clarita, California. When Sheila dies, their lives take a dark turn.","67,529"
571,Maestro,(VII),,,"Biography, Drama, Music",,"The complex love of Leonard and Felicia, from the time they met in 1946 at a party and continuing through two engagements, a 25 year marriage, and three children.",
572,Man vs. Bee,(2022– ),TV-PG,,"Short, Comedy, Family",6.7,"A man finds himself at war with a bee while housesitting a luxurious mansion. Who will win, and what irreparable damage will be done in the process?","26,558"
573,Things Heard & Seen,(2021),TV-MA,121 min,"Drama, Horror, Mystery",5.3,"An artist relocates to the Hudson Valley and begins to suspect that her marriage has a sinister darkness, one that rivals her new home's history.","31,421"
574,Guillermo del Toro's Cabinet of Curiosities,(2022– ),,,"Drama, Horror, Mystery",,"This anthology of sinister stories is told by some of today's most revered horror creators, including the directors of The Babadook, Splice, Mandy, and many more.",
575,Timeless,(2016–2018),TV-14,60 min,"Action, Adventure, Drama",7.6,An unlikely trio travel through time in order to battle unknown criminals and protect history as we know it.,"42,921"
576,Girl in the Picture,(2022),TV-MA,101 min,"Documentary, Crime, Mystery",7.2,"A young mother's mysterious death and her son's subsequent kidnapping blow open a decades-long mystery about the woman's true identity, and the murderous federal fugitive at the center of it all.","16,008"
577,Hush,(I) (2016),R,82 min,"Horror, Thriller",6.6,A deaf and mute writer who retreated into the woods to live a solitary life must fight for her life in silence when a masked killer appears at her window.,"132,650"
578,Neon Genesis Evangelion,(1995–1996),TV-MA,24 min,"Animation, Action, Drama",8.5,A teenage boy finds himself recruited as a member of an elite team of pilots by his father.,"68,559"
579,Waterworld,(1995),PG-13,177 min,"Action, Adventure, Sci-Fi",6.2,"In a future where the polar ice-caps have melted and Earth is almost entirely submerged, a mutated mariner fights starvation and outlaw ""smokers,"" and reluctantly helps a woman and a young girl try to find dry land.","196,460"
580,The Cuphead Show!,(2022– ),TV-Y7,12 min,"Animation, Short, Action",7.4,Follow the misadventures of the impulsive Cuphead and his cautious but persuadable brother Mugman in this animated series based on the hit video game.,"7,414"
581,A Perfect Pairing,(2022),TV-14,101 min,"Comedy, Romance",6.1,It follows a hard-driving LA wine-company executive who travels to an Australian sheep station to land a major client and there she ends up working as a ranch hand and sparking with a rugged local.,"11,632"
582,Kill Bill: Vol. 2,(2004),R,137 min,"Action, Crime, Thriller",8.0,"The Bride continues her quest of vengeance against her former boss and lover Bill, the reclusive bouncer Budd, and the treacherous, one-eyed Elle.","749,653"
583,Rampage,(2018),PG-13,107 min,"Action, Adventure, Sci-Fi",6.1,"When three different animals become infected with a dangerous pathogen, a primatologist and a geneticist team up to stop them from destroying Chicago.","167,170"
584,Contact,(1997),PG,150 min,"Drama, Mystery, Sci-Fi",7.5,"Dr. Ellie Arroway, after years of searching, finds conclusive radio proof of extraterrestrial intelligence, sending plans for a mysterious machine.","274,308"
585,The Woman in the Window,(2021),R,100 min,"Crime, Drama, Mystery",5.7,"An agoraphobic woman living alone in New York begins spying on her new neighbors, only to witness a disturbing act of violence.","74,469"
586,Copshop,(2021),R,107 min,"Action, Thriller",6.2,"On the run from a lethal assassin, a wily con artist devises a scheme to hide out inside a small-town police station-but when the hitman turns up at the precinct, an unsuspecting rookie cop finds herself caught in the crosshairs.","30,767"
587,In the Heart of the Sea,(2015),PG-13,122 min,"Action, Adventure, Biography",6.9,"A recounting of a New England whaling ship's sinking by a giant whale in 1820, an experience that later inspired the great novel Moby-Dick.","139,010"
588,The Starling,(2021),PG-13,102 min,"Comedy, Drama",6.3,"After Lilly suffers a loss, a combative Starling takes nest beside her quiet home. The feisty bird taunts and attacks the grief-stricken Lilly. On her journey to expel the Starling, she rediscovers her will to live and capacity for love.","13,097"
589,Between Two Ferns: The Movie,(2019),TV-MA,82 min,Comedy,6.1,Zach Galifianakis and his oddball crew take a road trip to complete a series of high-profile celebrity interviews.,"32,734"
590,Aftermath,(IV) (2021),TV-MA,114 min,"Drama, Horror, Mystery",5.3,"A young couple struggling to stay together, when they are offered an amazing deal on a home with a questionable past that would normally be beyond their means. In a final attempt to start fresh as a couple they take the deal.","16,046"
591,White House Down,(2013),PG-13,131 min,"Action, Drama, Thriller",6.3,"While on a tour of the White House with his young daughter, a Capitol policeman springs into action to save his child and protect the president from a heavily armed group of paramilitary invaders.","221,953"
592,The Dirt,(2019),TV-MA,107 min,"Biography, Comedy, Drama",6.9,"Based on the bestselling autobiography from Mötley Crüe, the film is an unflinching tale of success and excess as four misfits rise from the streets of Hollywood to the heights of international fame.","49,568"
593,The Post,(2017),PG-13,116 min,"Biography, Drama, History",7.2,A cover-up spanning four U.S. Presidents pushes the country's first female newspaper publisher and her editor to join an unprecedented battle between press and government.,"150,823"
594,Luke Cage,(2016–2018),TV-MA,55 min,"Action, Crime, Drama",7.3,"When a sabotaged experiment gives him super strength and unbreakable skin, Luke Cage becomes a fugitive attempting to rebuild his life in Harlem and must confront his past and fight a battle for the heart of his city.","130,409"
595,Firefly Lane,(2021– ),TV-MA,,"Drama, Romance",7.4,Tully and Kate support each other through good times and bad with an unbreakable bond that carries them from their teens to their forties.,"21,296"
596,Vincenzo,(2021– ),Not Rated,80 min,"Action, Comedy, Crime",8.4,"During a visit to his motherland, a Korean-Italian mafia lawyer gives an unrivaled conglomerate a taste of its own medicine with a side of justice.","17,647"
597,Pera Palas'ta Gece Yarisi,(2022– ),TV-14,45 min,"Drama, History, Mystery",7.1,"At a historic Istanbul hotel, a journalist is thrust into the past and must stop a plot that could change the fate of modern Turkey.","7,982"
